,Synonyms,Japanese,Type,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,description,name,French,Theme,English,Themes,German,Spanish,Genre,Broadcast,Demographics
925,,劇場版 BLEACH 地獄篇,Movie,1,Finished Airing,"Dec 4, 2010",,"None found, add some",VIZ Media,Pierrot,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",ShounenShounen,1 hr. 34 min.,PG-13 - Teens 13 or older,"7.621 (scored by 124516124,516 users)      1          indicates a weighted score.",#142622    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1129,"216,524",483,"When a soul has committed irredeemable sins, it is removed from the cycle of reincarnation monitored by the Soul Society, and the gates of Hell open to condemn the soul to eternal damnation. From this place from where no one has ever come back, three tormented souls who refer to themselves as Sinners of Hell burst in Karakura Town, where a ruthless fight involving them against the substitute Soul Reaper Ichigo Kurosaki and his friends ensues. In the aftermath of the fight, Ichigo's sisters are abducted, with the aforementioned group's leader Shuren hoping to lure Ichigo to be finally freed from the chains of Hell.

Helped by a Sinner named Kokutou, Ichigo and his friends head to Hell for a rescue mission. However, the Soul Society opposes the journey, in fear of threatening the balance between worlds. As the lines between friends and foes get blurred, Ichigo will have to face his most challenging dilemma yet—a decision that may well engulf the three worlds into chaos.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Bleach Movie 4: Jigoku-hen</strong></h1><br/><p class=""title-english title-inherit"">Bleach the Movie: Hell Verse</p></div>",,,,,,,,,
926,"Petite Maruko-chan, Little Miss Maruko",ちびまる子ちゃん,TV,142,Finished Airing,"Jan 7, 1990 to Sep 27, 1992",Winter 1990,Fuji TV,"None found, add some",Nippon Animation,Manga,,ShoujoShoujo,24 min. per ep.,G - All Ages,"7.621 (scored by 60876,087 users)      1          indicates a weighted score.",#142722    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#5785,"12,971",119,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. 

(Source: ANN)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Chibi Maruko-chan</strong></h1></div>",,,,,,,ComedyComedy,Unknown,
927,Dig Delight Direct Drive DJ,D4DJ First Mix,TV,13,Finished Airing,"Oct 30, 2020 to Jan 29, 2021",Fall 2020,Bushiroad,Sentai Filmworks,SANZIGEN,Mixed media,,,23 min. per ep.,PG-13 - Teens 13 or older,"7.621 (scored by 1670216,702 users)      1          indicates a weighted score.",#142822    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#3471,"41,691",505,"Having lived abroad in Africa for most of her life, Rinku Aimoto is now returning to Japan to attend Yoba Academy, a school where DJ units—groups made up of DJs, vocalists, and dancers—are extremely popular. There, she meets Maho Akashi, an aspiring DJ who teaches Rinku the basics of DJing. The girls attend a performance by Yoba's famous DJ unit Peaky P-key, and struck by inspiration, they decide to form a unit of their own.

Rinku and Maho soon recruit Muni Oonaruto, a talented artist and Rinku's childhood friend, as well as Rei Togetsu, a shy and caring pianist. Newly named Happy Around, the group aims to use the budding friendships and combined talents of its members to become one of the top DJ units in the country.

[Written by MAL Rewrite]
","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>D4DJ First Mix</strong></h1></div>",D4DJ First Mix,,D4DJ First Mix,"Idols (Female)Idols (Female),         MusicMusic,         SchoolSchool",D4DJ First Mix,D4DJ First Mix,,,
928,,ダイヤのA[エース]～Second Season OAD～,OVA,2,Finished Airing,"Aug 15, 2016 to Oct 17, 2016",,Kodansha,"None found, add some","Production I.G,       Madhouse",Manga,,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.621 (scored by 49904,990 users)      1          indicates a weighted score.",#142922    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#6046,"11,615",15,"OVAs bundled with 4th and 5th manga volumes of Diamond no Ace Act II.

An epilogue of the Diamond no Ace series.","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Diamond no Ace: Second Season OVA</strong></h1><br/><p class=""title-english title-inherit"">Ace of Diamond: Second Season OVA</p></div>",,,,"SchoolSchool,         Team SportsTeam Sports",,,SportsSports,,
929,"Free! - Iwatobi Swim Club 2, Free! 2nd Season",Free!-Eternal Summer-,TV,13,Finished Airing,"Jul 3, 2014 to Sep 25, 2014",Summer 2014,"Lantis,       Iwatobi High School Swimming Club,       Asahi Broadcasting",Funimation,"Kyoto Animation,       Animation Do",Original,,,23 min. per ep.,PG-13 - Teens 13 or older,"7.621 (scored by 231137231,137 users)      1          indicates a weighted score.",#143022    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#552,"419,160","2,564","Even though it has been a year since the Iwatobi High School Swim Club has been created, new members have yet to join the club. Now that Haruka Nanase and Makoto Tachibana are senior students, along with their younger friends Nagisa Hazuki and Rei Ryuugazaki, they have to find a way to attract new members. If not, the club will be forced to close the following year due to a lack of membership.

Meanwhile, with impending graduation, it is also time for the seniors to decide their plans for the future. Unlike their friend Rin Matsuoka, the new captain of Samezuka Academy Swim Club who is determined to fulfill his dream of being a professional swimmer, Haruka and Makoto are unsure about what career path they want to take.

Further problems arise when an old friend of Rin's, Sousuke Yamazaki, comes to the city to study at Samezuka Academy; the recently scouted swimmer's arrival causes tension in the relationship among him, Rin, and Haruka.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Free! Eternal Summer</strong></h1></div>",,SchoolSchool,,,,Free! Eternal Summer,SportsSports,,
930,,舟を編む,TV,11,Finished Airing,"Oct 14, 2016 to Dec 23, 2016",Fall 2016,"Aniplex,       Dentsu,       Fuji TV,       Kyoraku Industrial Holdings,       Kansai Telecasting,       Kobunsha",Discotek Media,Zexcs,Novel,"Award WinningAward Winning,         DramaDrama,         RomanceRomance",,22 min. per ep.,PG-13 - Teens 13 or older,"7.621 (scored by 4293242,932 users)      1          indicates a weighted score.",#143122    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1791,"124,257",497,"Kouhei Araki, a veteran editor of the dictionary editorial division at Genbu Publishing, plans to retire in order to better care for his ailing wife. However, before retiring, he must find a replacement to complete his latest project: a new dictionary called The Great Passage. But no matter where he looks, he cannot find anyone suitable, as making a dictionary requires a wealth of patience, time, and dedication.

Mitsuya Majime works in Genbu Publishing's sales division, yet he has poor social skills and an inability to read the mood in most situations. In spite of this, he excels at having an enthusiasm for words thanks to his love of reading and careful personality. It is these skills that draw Araki to him and prompt him to offer Majime a position in the dictionary editorial department. As Majime accepts his new position, he finds himself unsure of his abilities and questioning whether he will fit in with his new co-workers. Yet amid the vast sea of words, The Great Passage will bring them together.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Fune wo Amu</strong></h1><br/><p class=""title-english title-inherit"">The Great Passage</p></div>",Fune wo amu,,The Great Passage,"Adult CastAdult Cast,         WorkplaceWorkplace",The Great Passage,The Great Passage,,,
931,,ガヴリールドロップアウトOVA,Special,2,Finished Airing,"Mar 24, 2017 to May 24, 2017",,"None found, add some","None found, add some",Doga Kobo,Manga,"ComedyComedy,         SupernaturalSupernatural",ShounenShounen,15 min. per ep.,PG-13 - Teens 13 or older,"7.621 (scored by 3982139,821 users)      1          indicates a weighted score.",#143222    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#2575,"71,642",70,Specials included with the Blu-ray/DVD release of Gabriel DropOut.,"<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Gabriel DropOut Specials</strong></h1></div>",,,,"CGDCTCGDCT,         MythologyMythology,         SchoolSchool",,,,,
932,The Society for the Study of Modern Visual Culture OVA,げんしけん OVA,OVA,3,Finished Airing,"Dec 22, 2006 to Apr 25, 2007",,"Genco,       Lantis,       Media Factory",Media Blasters,Ajia-do,Manga,,SeinenSeinen,24 min. per ep.,PG-13 - Teens 13 or older,"7.621 (scored by 3011230,112 users)      1          indicates a weighted score.",#143322    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#3097,"51,210",28,"It's the start of a new year for the Genshiken crew, and that means recruiting new members. Always a dreaded task, The Society for the Study of Modern Visual Culture manages to get Chika Ogiue pushed onto them from the Manga Club. With her introduction of ""I'm Ogiue and I hate otaku,"" this year certainly will be anything but boring.

(Source: ANN)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Genshiken OVA</strong></h1></div>",,,,"Adult CastAdult Cast,         Otaku CultureOtaku Culture,         ParodyParody",,,Slice of LifeSlice of Life,,
933,,ひろがるスカイ！プリキュア,TV,50,Finished Airing,"Feb 5, 2023 to Jan 28, 2024",Winter 2023,"ABC Animation,       ADK Emotions","None found, add some",Toei Animation,Original,"ActionAction,         FantasyFantasy",,24 min. per ep.,G - All Ages,"7.621 (scored by 34023,402 users)      1          indicates a weighted score.",#143422    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#6409,"10,084",144,"A major incident in peaceful Skyland?! The infant princess Ellee-chan has been kidnapped by a monster from the Undergu Empire! A brave girl named Sora follows the princess into a strange hole. It leads her to another world called Sorashido City. Televisions? Bicycles? Are these magical devices?!?! There's no time to be surprised! Sora has to take the princess back to the castle as soon as possible! Flying between two worlds! This is the beginning of a Precure adventure! It's hero time!

(Source: Toei Animation USA)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Hirogaru Sky! Precure</strong></h1><br/><p class=""title-english title-inherit"">Soaring Sky! Pretty Cure</p></div>",,Mahou ShoujoMahou Shoujo,Soaring Sky! Pretty Cure,,,,,,
934,,K Seven Stories メモリー・オブ・レッド ~BURN~,Movie,1,Finished Airing,"Nov 3, 2018",,"None found, add some",VIZ Media,GoHands,Manga,"ActionAction,         SupernaturalSupernatural",,1 hr. 1 min.,PG-13 - Teens 13 or older,"7.621 (scored by 62466,246 users)      1          indicates a weighted score.",#143522    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#4654,"22,419",33,"It is the beginning of December. Anna Kushina's birthday is coming up, so the boys of HOMRA decide to celebrate by preparing a surprise party for their little princess.

(Source: TubiTV)","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>K: Seven Stories Movie 5 - Memory of Red - Burn</strong></h1><br/><p class=""title-english title-inherit"">K: SEVEN STORIES ""Memory of RED - BURN -""</p></div>",,Super PowerSuper Power,,,,,,,
935,Rohan Kishibe Does Not Move,岸辺露伴は動かない,OVA,4,Finished Airing,"Sep 20, 2017 to Mar 25, 2020",,"Warner Bros. Japan,       Shueisha",VIZ Media,David Production,Manga,"ActionAction,         MysteryMystery,         SupernaturalSupernatural",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"7.621 (scored by 9558195,581 users)      1          indicates a weighted score.",#143622    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.,#1542,"150,487",409,"Kishibe Rohan wa Ugokanai adapts a handful of one-shots based on the manga series JoJo no Kimyou na Bouken, and follows the bizarre adventures that Rohan Kishibe goes through as he searches for inspiration for his manga.

Fugou Mura

Rohan accompanies manga editor Kyouka Izumi to a secretive village where she plans on buying a house. Izumi informs Rohan that inhabitants of the village suddenly become rich at the age of 25 after purchasing their homes. Being 25 years old herself, Izumi has high hopes for moving into the village and invites Rohan to gather ideas for his manga. As they enter one of the houses for an interview with the seller, they are greeted by a servant named Ikkyuu, who puts them through a test of etiquette with deadly consequences.

Mutsukabezaka

Rohan meets with his editor, Minoru Kagamari, to discuss both his manga and the six mountains that the manga author recently bought. He explains that he purchased the mountains in order to search for a legendary spirit known as the Mutsukabezaka. To give his search context, he tells the tale of Naoko Osato, a wealthy heiress who murdered her boyfriend and became cursed by the spirit.

Zangenshitsu

Rohan decides to vacation in Venice after putting his manga on hiatus. While there, he explores the interior of a church and examines the structure of its confessional. After stepping into the priest's compartment, Rohan hears a man enter the confessional and begin to confess his sins. The man recounts his confrontation with a starving beggar and the haunting events that followed.

The Run

Youma Hashimoto is a young male model who has quickly risen to success. As his popularity grows, so does his obsession with his appearance and body. One day, he meets Rohan at the gym, and the two quickly form a rivalry which pushes Youma to intensify his training. Soon. Youma's fixation on his physique takes a dark turn as his training takes precedence over his life, and he challenges Rohan to a fatal competition on the treadmills.

[Written by MAL Rewrite]","<div itemprop=""name""><h1 class=""title-name h1_bold_none""><strong>Kishibe Rohan wa Ugokanai</strong></h1><br/><p class=""title-english title-inherit"">Thus Spoke Kishibe Rohan</p></div>",,,Thus Spoke Kishibe Rohan,,,,,,
